Thu Apr 11 13:58:05 EDT 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1365703025962,5,25,5,0,17,0,0,160,2,0,0,0,0
1365703030962,5,25,5,0,17,0,0,160,2,70,2,0,0
1365703035962,5,25,5,0,17,0,0,160,2,70,2,0,0
1365703040962,5,25,5,0,17,0,0,160,2,70,2,0,0
1365703045963,5,25,5,0,17,0,0,166,2,73,2,0,0
1365703050962,5,25,5,0,17,0,0,166,2,73,2,0,0
1365703055962,5,25,5,0,17,0,0,166,2,73,2,0,0
1365703060962,5,25,5,0,17,0,0,168,2,73,2,0,0
1365703065962,5,25,5,0,17,0,0,168,2,74,2,0,0
1365703070963,5,25,5,0,17,0,0,169,2,75,2,0,0
1365703075962,5,25,5,0,17,0,0,169,2,75,2,0,0
1365703080962,5,25,5,0,17,0,0,196,2,79,3,0,0
1365703085962,5,25,5,0,17,0,0,196,2,97,3,0,0
1365703090962,5,25,5,0,17,0,0,196,2,97,3,0,0
1365703095962,5,25,5,0,17,0,0,199,2,101,3,0,0
1365703100962,5,25,5,0,17,0,0,199,2,101,3,0,0
1365703105962,5,25,5,0,17,0,0,199,2,101,3,0,0
1365703110962,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703115962,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703120962,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703125963,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703130962,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703135963,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703140962,5,25,5,0,17,0,0,201,2,102,3,0,0
1365703145962,5,25,5,0,17,0,0,203,2,103,3,0,0
1365703150962,5,25,5,0,17,0,0,203,2,103,3,0,0
1365703155962,5,25,5,0,17,0,0,203,2,103,3,0,0
1365703160962,5,25,5,0,17,0,0,203,2,103,3,0,0
1365703165962,5,25,5,0,17,0,0,203,2,103,3,0,0
